"chr","start","end","length","count","peak"
"chr1",1472488,1472723,235,10,1472636
"chr1",1473890,1474153,263,14,1474022
"chr1",1474224,1474443,219,10,1474304
"chr1",1475953,1476472,519,21,1476082
"chr1",1476645,1476915,270,21,1476775
"chr1",1478965,1479172,207,14,1479066
"chr1",1480074,1480346,272,25,1480172
"chr1",1491128,1491365,237,19,1491241
"chr1",1491446,1491724,278,8.3,1491584
"chr1",1492911,1493168,257,19,1493060
"chr1",1495002,1495526,524,58,1495321
"chr1",1495568,1496001,433,19,1495663
"chr1",1496945,1497388,443,19,1497044
"chr1",1498634,1498913,279,58,1498807
"chr1",1533492,1533958,466,46,1533606
"chr1",1550797,1551003,206,25,1550904
"chr1",1572916,1573233,317,14,1573155
"chr1",1574301,1574599,298,25,1574429
"chr1",1574914,1575235,321,10,1574969
"chr1",1575569,1575799,230,10,1575754
"chr1",1576247,1576482,235,33,1576468
"chr1",1577022,1577276,254,41,1577067
"chr1",1580453,1580687,234,43,1580554
"chr1",1581170,1581375,205,23,1581250
"chr1",1587105,1587312,207,10,1587220
"chr1",1594922,1595184,262,72,1595041
"chr1",1595413,1595616,203,41,1595530
"chr1",1599298,1599585,287,25,1599496
"chr1",1601720,1602133,413,21,1601949
"chr1",1607678,1607972,294,14,1607756
"chr1",1609227,1609621,394,17,1609478
"chr1",1609721,1610127,406,35,1609940
"chr1",1612257,1612483,226,41,1612341
"chr1",1617483,1617762,279,33,1617632
"chr1",1634518,1634753,235,21,1634643
"chr1",1637511,1637808,297,31,1637613
"chr1",1640956,1641272,316,25,1640993
"chr1",1645629,1645883,254,10,1645766
"chr1",1646226,1646606,380,17,1646369
"chr1",1646639,1646982,343,21,1646883
"chr1",1648001,1648204,203,10,1648109
"chr1",1648526,1648827,301,10,1648719
"chr1",1649201,1649469,268,12,1649369
"chr1",1649761,1649991,230,12,1649854
"chr1",1650077,1650603,526,33,1650431
"chr1",1650691,1650894,203,17,1650768
"chr1",1657662,1657955,293,14,1657806
"chr1",1660840,1661095,255,54,1660979
"chr1",1661232,1661463,231,56,1661341
"chr1",1662532,1662824,292,56,1662712
"chr1",1663092,1663302,210,17,1663202
"chr1",1664974,1665212,238,33,1665115
"chr1",1665638,1665964,326,62,1665858
"chr1",1667363,1667912,549,17,1667802
"chr1",1668010,1668236,226,31,1668131
"chr1",1671733,1672371,638,29,1671959
"chr1",1672760,1672974,214,12,1672884
"chr1",1684255,1684499,244,21,1684399
"chr1",1685863,1686199,336,64,1686080
"chr1",1686234,1686448,214,8.3,1686327
"chr1",1687520,1687909,389,12,1687551
"chr1",1687973,1688196,223,21,1688046
"chr1",1690273,1690610,337,19,1690461
"chr1",1691927,1692159,232,12,1692048
"chr1",1692199,1692849,650,23,1692523
"chr1",1693196,1693474,278,17,1693448
"chr1",1698115,1698646,531,66,1698483
"chr1",1699351,1699601,250,19,1699482
"chr1",1704592,1704809,217,12,1704702
"chr1",1705158,1705435,277,23,1705294
"chr1",1706266,1706521,255,23,1706379
"chr1",1718434,1718876,442,33,1718801
"chr1",1723878,1724120,242,43,1724007
"chr1",1724516,1724750,234,8.3,1724721
"chr1",1726544,1726762,218,21,1726629
"chr1",1728869,1729096,227,25,1728978
"chr1",1738131,1738374,243,23,1738266
"chr1",1739164,1739697,533,35,1739566
"chr1",1740074,1740375,301,17,1740222
"chr1",1742101,1742376,275,17,1742232
"chr1",1742852,1743130,278,29,1742990
"chr1",1744603,1744844,241,31,1744736
"chr1",1746316,1746541,225,19,1746418
"chr1",1748085,1748591,506,39,1748222
"chr1",1751534,1751787,253,31,1751697
"chr1",1753739,1754031,292,14,1753844
"chr1",1756036,1756280,244,12,1756164
"chr1",1761706,1761911,205,58,1761810
"chr1",1762022,1762238,216,25,1762134
"chr1",1763219,1763447,228,27,1763341
"chr1",1769902,1770171,269,56,1770001
"chr1",1771003,1771290,287,25,1771113
"chr1",1771519,1771736,217,21,1771644
"chr1",1772363,1772594,231,14,1772472
"chr1",1781439,1781794,355,19,1781526
"chr1",1783755,1783958,203,23,1783837
"chr1",1784211,1784628,417,19,1784357
"chr1",1787460,1788012,552,27,1787871
"chr1",1793361,1793587,226,23,1793458
"chr1",1793913,1794188,275,41,1794109
"chr1",1796424,1796692,268,33,1796546
"chr1",1796763,1797001,238,8.3,1796953
"chr1",1797388,1797671,283,68,1797538
"chr1",1799939,1800232,293,25,1800128
"chr1",1805714,1806041,327,35,1805807
"chr1",1810863,1811139,276,29,1811005
"chr1",1811758,1812022,264,58,1811903
"chr1",1816991,1817268,277,31,1817050
"chr1",1819960,1820301,341,46,1820186
"chr1",1821426,1822087,661,21,1821562
"chr1",2118724,2119052,328,25,2118847
"chr1",2119102,2119470,368,33,2119242
"chr1",2122168,2122647,479,35,2122462
"chr1",2134636,2134869,233,10,2134766
"chr1",2256547,2256879,332,23,2256654
"chr1",2297963,2298259,296,10,2298201
"chr1",2299099,2299306,207,25,2299199
"chr1",2300510,2300727,217,33,2300595
"chr1",2307025,2307236,211,8.3,2307101
"chr1",2307481,2307733,252,19,2307601
"chr1",2314414,2314730,316,12,2314584
"chr1",2317872,2318162,290,14,2317938
"chr1",2320315,2320547,232,29,2320437
"chr1",2322192,2322406,214,8.3,2322301
"chr1",2335934,2336234,300,29,2336035
"chr1",2336298,2336562,264,29,2336423
"chr1",2336621,2337063,442,31,2336779
"chr1",2341258,2341614,356,29,2341413
"chr1",2341646,2342290,644,43,2341763
"chr1",2342724,2343150,426,21,2342836
"chr1",2431620,2432214,594,21,2432128
"chr1",2432705,2432981,276,8.3,2432843
"chr1",2433625,2433837,212,12,2433716
"chr1",2437565,2437993,428,23,2437711
"chr1",2438336,2438686,350,12,2438436
"chr1",2440323,2440794,471,25,2440438
"chr1",2442274,2442585,311,17,2442398
"chr1",2446354,2446708,354,19,2446620
"chr1",2449177,2449412,235,14,2449274
"chr1",2449833,2450214,381,39,2449969
"chr1",2451443,2451722,279,21,2451586
"chr1",2452029,2452299,270,31,2452151
"chr1",2454689,2454930,241,25,2454798
"chr1",2454993,2455567,574,37,2455313
"chr1",2571055,2571261,206,12,2571149
"chr1",2572935,2573198,263,14,2573067
"chr1",2573273,2573579,306,17,2573410
"chr1",2573632,2574063,431,39,2573880
