chr	start	end	length	count	peak
chr1	1267913	1268119	206	20.0	1268045
chr1	1268200	1268874	674	17.0	1268333
chr1	1268946	1273543	4597	67.0	1269539
chr1	1274402	1274630	228	12.0	1274509
chr1	1274754	1276797	2043	19.0	1276461
chr1	1277102	1279140	2038	43.0	1278376
chr1	1280227	1280625	398	27.0	1280359
chr1	1280707	1282871	2164	25.0	1281349
chr1	1283468	1283685	217	11.0	1283570
chr1	1284160	1284400	240	8.3	1284192
chr1	1287779	1288013	234	8.3	1287909
chr1	1306028	1307278	1250	36.0	1306161
chr1	1307561	1307801	240	15.0	1307664
chr1	1308492	1310001	1509	27.0	1309044
chr1	1310042	1310749	707	24.0	1310440
chr1	1313355	1313572	217	11.0	1313465
chr1	1320518	1320733	215	12.0	1320619
chr1	1321209	1321681	472	16.0	1321317
chr1	1322501	1322780	279	16.0	1322644
chr1	1331979	1332323	344	28.0	1332089
chr1	1338262	1338492	230	15.0	1338380
chr1	1338617	1338881	264	22.0	1338736
chr1	1339540	1339833	293	23.0	1339634
chr1	1339889	1340145	256	15.0	1340004
chr1	1340473	1340736	263	22.0	1340609
chr1	1341460	1341721	261	21.0	1341600
chr1	1444406	1444646	240	9.5	1444516
chr1	1462361	1462853	492	12.0	1462698
chr1	1462982	1463191	209	16.0	1463072
chr1	1463992	1464355	363	13.0	1464209
chr1	1468370	1469571	1201	14.0	1468791
chr1	1471600	1471878	278	12.0	1471736
chr1	1472402	1472827	425	24.0	1472615
chr1	1473184	1473511	327	18.0	1473246
chr1	1473662	1474497	835	27.0	1474028
chr1	1474570	1474880	310	16.0	1474726
chr1	1475883	1478472	2589	46.0	1476522
chr1	1478574	1479580	1006	37.0	1479061
chr1	1479654	1479990	336	15.0	1479740
chr1	1480041	1480819	778	41.0	1480231
chr1	1485915	1486644	729	20.0	1485999
chr1	1494995	1495489	494	38.0	1495345
chr1	1495610	1496134	524	34.0	1495817
chr1	1496352	1496887	535	78.0	1496645
chr1	1496921	1497479	558	44.0	1497029
chr1	1498639	1498887	248	29.0	1498762
chr1	1532959	1533173	214	18.0	1533040
chr1	1550807	1551114	307	23.0	1550983
chr1	1571224	1573236	2012	36.0	1571744
chr1	1573639	1574209	570	22.0	1573774
chr1	1574365	1575252	887	24.0	1574974
chr1	1575584	1576190	606	19.0	1575730
chr1	1576221	1576816	595	19.0	1576369
chr1	1580458	1580729	271	44.0	1580585
chr1	1580772	1581130	358	16.0	1580902
chr1	1582718	1584551	1833	95.0	1583851
chr1	1594939	1595155	216	15.0	1595039
chr1	1596750	1597031	281	18.0	1596907
chr1	1597231	1597488	257	9.5	1597359
chr1	1602454	1602758	304	9.5	1602656
chr1	1607673	1608132	459	36.0	1607806
chr1	1608991	1610554	1563	40.0	1609933
chr1	1614674	1615637	963	34.0	1615510
chr1	1617484	1617745	261	16.0	1617632
chr1	1635379	1635726	347	12.0	1635612
chr1	1635957	1636954	997	24.0	1636212
chr1	1637577	1637865	288	8.3	1637740
chr1	1638431	1638805	374	16.0	1638671
chr1	1639415	1639637	222	12.0	1639541
chr1	1640186	1640638	452	42.0	1640461
chr1	1640912	1641411	499	24.0	1641267
chr1	1645944	1647028	1084	60.0	1646473
chr1	1647063	1647910	847	81.0	1647199
chr1	1650117	1650546	429	40.0	1650257
chr1	1651085	1651411	326	11.0	1651182
chr1	1651844	1652222	378	9.5	1652077
chr1	1657610	1657846	236	9.5	1657758
chr1	1662542	1662812	270	29.0	1662682
chr1	1664338	1664606	268	39.0	1664471
chr1	1664942	1665212	270	28.0	1665084
chr1	1665707	1665942	235	26.0	1665831
chr1	1671776	1672039	263	17.0	1671922
chr1	1684320	1684530	210	32.0	1684433
chr1	1684854	1685512	658	13.0	1684977
chr1	1685564	1686673	1109	53.0	1686023
chr1	1686880	1690074	3194	76.0	1689055
chr1	1690273	1691289	1016	19.0	1690457
chr1	1691329	1691784	455	13.0	1691638
chr1	1691837	1692267	430	26.0	1692032
chr1	1692658	1692944	286	16.0	1692796
chr1	1693082	1693485	403	17.0	1693163
chr1	1698271	1698643	372	45.0	1698484
chr1	1699369	1699603	234	18.0	1699481
chr1	1703244	1703508	264	25.0	1703370
chr1	1703623	1703858	235	28.0	1703772
chr1	1706267	1706518	251	15.0	1706328
chr1	1711301	1712203	902	21.0	1711908
chr1	1722672	1722872	200	13.0	1722736
chr1	1726561	1726817	256	21.0	1726668
chr1	1739450	1739693	243	12.0	1739581
chr1	1742570	1742796	226	37.0	1742692
chr1	1742852	1743130	278	20.0	1743028
chr1	1744271	1744570	299	12.0	1744404
chr1	1746279	1746537	258	15.0	1746417
chr1	1747350	1748029	679	53.0	1747593
chr1	1748108	1748555	447	39.0	1748311
chr1	1756051	1756276	225	11.0	1756148
chr1	1761708	1761947	239	27.0	1761810
chr1	1763221	1763429	208	15.0	1763347
chr1	1768710	1769255	545	35.0	1769089
chr1	1769903	1770157	254	23.0	1770080
chr1	1771006	1771288	282	14.0	1771205
chr1	1771739	1771986	247	21.0	1771885
chr1	1772363	1772601	238	22.0	1772468
chr1	1781440	1781841	401	14.0	1781733
chr1	1784434	1784663	229	28.0	1784543
chr1	1786315	1786751	436	19.0	1786503
chr1	1787861	1788140	279	9.5	1788039
chr1	1793924	1794169	245	15.0	1794009
chr1	1796459	1796691	232	17.0	1796589
chr1	1797416	1797664	248	34.0	1797541
chr1	1801308	1801598	290	82.0	1801493
chr1	1803214	1804245	1031	89.0	1804019
chr1	1806636	1806894	258	26.0	1806746
chr1	1810096	1810485	389	28.0	1810303
chr1	1810866	1811124	258	18.0	1811008
chr1	1811377	1811659	282	39.0	1811514
chr1	1811758	1812090	332	43.0	1811903
chr1	1812863	1813570	707	34.0	1813084
chr1	1815406	1815941	535	45.0	1815518
chr1	1819098	1819344	246	24.0	1819245
chr1	1819878	1820273	395	30.0	1820171
chr1	1821403	1822327	924	28.0	1821519
chr1	1834607	1834828	221	33.0	1834699
chr1	1847488	1848266	778	16.0	1847627
chr1	1849165	1849542	377	13.0	1849459
chr1	2109281	2109525	244	18.0	2109377
chr1	2109632	2109971	339	11.0	2109767
chr1	2112609	2113270	661	21.0	2112983
chr1	2117373	2117786	413	19.0	2117494
chr1	2117843	2118060	217	19.0	2117941
chr1	2118093	2118300	207	19.0	2118177
chr1	2118753	2119033	280	24.0	2118902
chr1	2119103	2119486	383	53.0	2119235
chr1	2122191	2123038	847	51.0	2122448
chr1	2125328	2125645	317	12.0	2125509
chr1	2126360	2126673	313	19.0	2126561
chr1	2126764	2127237	473	13.0	2126882
chr1	2134382	2135313	931	24.0	2134983
chr1	2135385	2136337	952	42.0	2136085
chr1	2136663	2137602	939	17.0	2136952
chr1	2139672	2140049	377	8.3	2139793
chr1	2140557	2140812	255	17.0	2140686
chr1	2140950	2141726	776	16.0	2141579
chr1	2141824	2142667	843	13.0	2142241
chr1	2154498	2154745	247	16.0	2154597
chr1	2155809	2156025	216	26.0	2155925
chr1	2156179	2156708	529	16.0	2156282
chr1	2242019	2243150	1131	16.0	2242840
chr1	2243632	2244268	636	17.0	2243961
chr1	2271125	2272014	889	11.0	2271705
chr1	2278252	2278480	228	8.3	2278420
chr1	2279025	2279325	300	13.0	2279225
chr1	2279418	2279753	335	12.0	2279506
chr1	2280479	2280682	203	15.0	2280570
chr1	2286064	2286369	305	13.0	2286207
chr1	2304480	2304709	229	9.5	2304564
chr1	2304741	2304958	217	9.5	2304814
chr1	2305048	2305262	214	9.5	2305168
chr1	2306709	2306952	243	18.0	2306826
chr1	2306998	2310201	3203	67.0	2308657
chr1	2312323	2312543	220	18.0	2312429
chr1	2314399	2317001	2602	93.0	2315387
chr1	2317071	2317299	228	20.0	2317182
chr1	2317606	2317819	213	17.0	2317685
chr1	2317887	2318130	243	13.0	2318021
chr1	2318245	2318964	719	16.0	2318380
chr1	2320337	2320545	208	17.0	2320457
chr1	2321158	2321446	288	20.0	2321287
chr1	2321480	2322121	641	23.0	2321984
chr1	2322225	2322445	220	15.0	2322320
chr1	2322548	2322848	300	20.0	2322689
chr1	2332794	2333094	300	21.0	2332959
chr1	2334132	2334374	242	19.0	2334278
chr1	2334798	2335065	267	17.0	2334922
chr1	2335922	2337390	1468	62.0	2336472
chr1	2338028	2338530	502	14.0	2338373
chr1	2338757	2339045	288	17.0	2338924
chr1	2339118	2339322	204	13.0	2339251
chr1	2339991	2343918	3927	80.0	2341858
chr1	2426063	2426329	266	14.0	2426182
chr1	2426631	2426915	284	9.5	2426818
chr1	2426948	2427423	475	12.0	2427035
chr1	2429333	2429655	322	12.0	2429574
chr1	2430681	2431004	323	11.0	2430883
chr1	2431322	2431558	236	12.0	2431459
chr1	2431620	2432242	622	30.0	2432125
chr1	2432442	2433016	574	23.0	2432876
chr1	2433050	2433751	701	16.0	2433490
chr1	2433885	2436639	2754	48.0	2435213
chr1	2436747	2436973	226	19.0	2436856
chr1	2437026	2440034	3008	53.0	2439002
chr1	2440097	2442868	2771	53.0	2441759
chr1	2444133	2445238	1105	17.0	2445113
chr1	2445292	2448321	3029	64.0	2447451
chr1	2448364	2448841	477	28.0	2448689
chr1	2448897	2449424	527	29.0	2449031
chr1	2449481	2449764	283	21.0	2449654
chr1	2449835	2453598	3763	42.0	2451577
chr1	2453649	2454147	498	27.0	2453768
chr1	2454626	2457817	3191	70.0	2455334
chr1	2474424	2474634	210	12.0	2474496
chr1	2475412	2475736	324	12.0	2475627
chr1	2514999	2515342	343	17.0	2515226
chr1	2515378	2515740	362	8.3	2515410
chr1	2516438	2517465	1027	30.0	2516932
chr1	2534784	2535127	343	9.5	2535025
chr1	2536298	2536771	473	9.5	2536672
chr1	2566646	2567228	582	20.0	2566982
chr1	2567340	2567611	271	6.3	2567378
chr1	2568178	2568392	214	27.0	2568305
chr1	2568904	2569223	319	12.0	2569167
chr1	2570055	2570407	352	18.0	2570192
chr1	2570669	2571710	1041	34.0	2570965
chr1	2571745	2572228	483	18.0	2572007
chr1	2572726	2574188	1462	70.0	2573925
chr1	2977551	2977862	311	25.0	2977634
chr1	2977983	2978373	390	18.0	2978195
chr1	2978643	2979051	408	21.0	2978921
chr1	2979130	2979622	492	18.0	2979502
chr1	2981592	2981860	268	16.0	2981741
chr1	2982018	2982786	768	21.0	2982329
chr1	2982882	2984081	1199	24.0	2983398
chr1	2984130	2984681	551	11.0	2984384
